RU;59;1641;TransparentCalls;0.62;571;34;51
US;16;1681;E-Voice;0.98;34;85;59
GB;79;176;TransparentCalls;0.74;886;70;52
FR;48;1217;TransparentCalls;0.84;288;65;18
BL;22;608;E-Voice;0.78;922;88;28
AT371889;Transparentalls;0.91;602;13;48
BG;65;855;E-Voice;0.99;130;21;29
DK;52;878;JustPhone;0.84;46;71;27
CA;32;1408;JustPhone;0.62;308;35;57
ES;12;865;E-Voice;0.85;334;55;42
CH;34;1645;JustPhone;0.67;21;34;11
TR;83;1241;TransparentCalls;0.93;741;92;43
PE;43;1672;JustPhone;0.98;299;50;24
NZ;8;1468;JustPhone;0.62;938;38;45
MC;31;310;E-Voice;0.62;296;51;42
